,X,Y,Speed,Boosts,Mud_0,Mud_1,Mud_2,Mud_3,Speed_0,Speed_1,Speed_2,Speed_3,Move,Mud_Through,Objective
17943,942,3,8,1,0,6,1,2,0,0,0,0,0,0,5
17944,951,3,9,1,2,2,2,5,0,0,0,0,1,0,6
17945,959,2,9,1,2,2,2,4,0,0,0,1,0,1,1
17946,968,2,8,1,1,2,1,3,0,0,0,1,0,1,1
17947,977,2,8,1,0,2,1,2,1,0,0,0,3,0,6
17948,992,2,15,0,2,3,3,1,0,0,0,0,2,0,10
17949,1006,3,15,0,2,2,3,2,1,1,0,0,0,2,10
17950,1021,3,8,0,2,0,1,3,2,0,0,0,0,1,5
17951,1030,3,8,0,0,0,2,2,1,0,0,0,0,1,4
17952,1039,3,8,0,0,0,1,1,1,0,0,0,0,1,4
17953,1048,3,8,0,3,1,0,0,0,0,0,0,0,0,4
17954,1057,3,9,0,3,4,1,0,0,0,0,0,0,0,5
17955,1066,3,9,0,2,4,2,0,0,0,0,0,0,0,6
17956,1075,3,9,0,4,2,1,1,1,0,1,0,0,0,5
17957,1084,3,9,0,2,1,2,1,1,0,1,0,0,1,9
17958,1093,3,8,0,2,2,3,0,0,0,1,0,1,0,0
17959,1100,2,8,1,2,2,3,1,0,0,0,0,0,3,6
17960,1109,2,3,1,1,3,0,2,0,0,0,0,3,0,2
17961,1124,2,15,0,1,3,3,2,0,0,0,0,0,2,10
17962,1139,2,8,0,2,1,3,2,0,0,0,0,0,1,5
17963,1148,2,8,0,3,1,2,2,0,0,0,0,0,2,5
17964,1157,2,6,0,3,0,4,1,0,0,0,0,0,0,3
17965,1165,2,8,0,1,0,5,0,1,0,0,0,1,0,3
17966,1172,1,8,0,0,0,5,0,1,0,0,0,0,0,4
17967,1181,1,9,0,2,1,3,2,1,0,0,0,1,0,4
17968,1189,0,9,1,2,2,1,4,2,0,0,0,0,1,6
17969,1198,0,8,1,4,3,1,4,3,0,0,0,0,1,3
17970,1207,0,8,2,4,2,2,3,2,0,0,0,0,2,0
17971,1216,0,6,4,2,0,3,1,0,0,0,0,3,2,2
